2019-07-18 10:15:14.177 [main] INFO  c.l.s.SpringbootLogbackApplication - Starting SpringbootLogbackApplication on DESKTOP-0R2GESS with PID 13924 (F:\IDEA_workSpace\myspringboot\springboot_logback\target\classes started by 26939 in F:\IDEA_workSpace\myspringboot\springboot_logback)
2019-07-18 10:15:14.179 [main] INFO  c.l.s.SpringbootLogbackApplication - No active profile set, falling back to default profiles: default
2019-07-18 10:15:14.897 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-07-18 10:15:14.912 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2019-07-18 10:15:14.921 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-07-18 10:15:14.921 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-07-18 10:15:15.015 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-07-18 10:15:15.016 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 802 ms
2019-07-18 10:15:15.284 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-07-18 10:15:15.433 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2019-07-18 10:15:15.452 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-07-18 10:15:15.454 [main] INFO  c.l.s.SpringbootLogbackApplication - Started SpringbootLogbackApplication in 1.731 seconds (JVM running for 2.703)
2019-07-18 10:15:50.816 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-07-18 10:15:50.816 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-07-18 10:15:50.823 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2019-07-18 10:16:43.989 [main] INFO  c.l.s.SpringbootLogbackApplication - Starting SpringbootLogbackApplication on DESKTOP-0R2GESS with PID 17172 (F:\IDEA_workSpace\myspringboot\springboot_logback\target\classes started by 26939 in F:\IDEA_workSpace\myspringboot\springboot_logback)
